pathophysiologic finding,RID4736.Observation
Hurler syndrome,RID34621.Observation
Morquio syndrome,RID34618.Observation
osteogenesis imperfecta,RID34746.Observation
tear,RID4714.Observation
transection,RID4712.Observation
entrapment syndrome,RID4646.Observation
injury due to known mechanism,RID4629.Observation
brain damage,RID34755.Observation
fracture,RID4650.Observation
wound,RID4733.Observation
child abuse,RID4643.Observation
bucket-handle tear,RID4725.Observation
flap tear,RID4726.Observation
avulsion,RID4715.Observation
ACL tear,RID34594.Observation
radial tear,RID4724.Observation
parrot beak tear,RID4729.Observation
healed tear,RID4727.Observation
annular tear,RID4716.Observation
intersubstance tear,RID4728.Observation
strain,RID4732.Observation
Mallory-Weiss tear,RID4730.Observation
sprain,RID4731.Observation
intimal flap,RID3330.Observation
humeral avulsion of inferior glenohumeral ligament,RID34692.Observation
annular tear of intervertebral disc,RID4717.Observation
concentric annular tear of intervertebral disc,RID4723.Observation
radial annular tear of intervertebral disc,RID4721.Observation
transverse annular tear of intervertebral disc,RID4722.Observation
rupture,RID4713.Observation
diaphragmatic rupture,RID34644.Observation
splenic rupture,RID34586.Observation
cubital tunnel syndrome,RID4648.Observation
extraocular muscle entrapment,RID4649.Observation
carpal tunnel syndrome,RID4647.Observation
injury due to thermal or electrical trauma,RID4639.Observation
injury due to mechanical trauma,RID4630.Observation
injury due to chemical trauma,RID4642.Observation
injury due to frostbite,RID4640.Observation
injury due to burn,RID4641.Observation
shear injury,RID4637.Observation
whiplash,RID4638.Observation
blunt injury,RID4635.Observation
rotation injury,RID4636.Observation
penetrating injury,RID4633.Observation
hyperextension injury,RID4631.Observation
hyperflexion injury,RID4632.Observation
mallet finger,RID29138.Observation
injury due to missile,RID4634.Observation
diffuse axonal injury,RID4644.Observation
Bankart deformity,RID29117.Observation
Barton fracture,RID29118.Observation
tripod fracture,RID29151.Observation
dens fracture,RID4659.Observation
toddler fracture,RID29150.Observation
compression fracture,RID4658.Observation
ankle fracture,RID34951.Observation
stress fracture,RID4695.Observation
apophyseal ring fracture,RID4651.Observation
teardrop fracture,RID4696.Observation
Segond fracture,RID4694.Observation
burst fracture,RID4655.Observation
wedge compression fracture,RID4699.Observation
avulsion fracture,RID4653.Observation
torus fracture,RID4697.Observation
bowing fracture,RID4654.Observation
transchondral fracture,RID4698.Observation
Galeazzi fracture,RID29128.Observation
gamekeeper thumb,RID29129.Observation
Desault dislocation,RID29126.Observation
Essex-Lopresti fracture,RID29127.Observation
Colles fracture,RID29124.Observation
deQuervain dislocation,RID29125.Observation
Chopart fracture-dislocation,RID29122.Observation
clay shoveler's fracture,RID29123.Observation
chauffeur fracture,RID29120.Observation
chisel fracture,RID29121.Observation
Jefferson fracture,RID4668.Observation
hangman fracture,RID4669.Observation
flexion distraction fracture,RID4663.Observation
greenstick fracture,RID4666.Observation
insufficiency fracture,RID4667.Observation
fracture dislocation,RID4665.Observation
comminuted fracture,RID6341.Observation
march fracture,RID29139.Observation
closed fracture,RID6342.Observation
Malgaigne fracture,RID29137.Observation
Little Leaguer elbow,RID29135.Observation
Maisonneuve fracture,RID29136.Observation
Jones fracture,RID29133.Observation
Kocher fracture,RID29134.Observation
occipital condyle fracture,RID4679.Observation
double-column acetabulum fracture,RID34775.Observation
Kummel disease,RID4674.Observation
fatigue fracture,RID6339.Observation
orbital wall fracture,RID4676.Observation
neuromuscular fracture,RID6350.Observation
Bennett fracture,RID29226.Observation
Tillaux fracture,RID29149.Observation
sideswipe elbow fracture,RID29146.Observation
Smith fracture,RID29147.Observation
Seymour fracture,RID29144.Observation
Shepherd fracture,RID29145.Observation
Rolando fracture,RID29142.Observation
Monteggia fracture,RID29140.Observation
Piedmont fracture,RID29141.Observation
Salter-Harris fracture,RID4684.Observation
diaphyseal fracture,RID6345.Observation
intraarticular fracture,RID6346.Observation
open fracture,RID6343.Observation
depression fracture,RID6344.Observation
pathologic fracture,RID4683.Observation
burst fracture,RID6349.Observation
periprosthetic fracture,RID6347.Observation
teardrop fracture,RID6348.Observation
type 3 dens fracture,RID4662.Observation
type 1 dens fracture,RID4660.Observation
type 2 dens fracture,RID4661.Observation
Weber type A fracture,RID34952.Observation
Weber type B fracture,RID34953.Observation
Weber type C fracture,RID34954.Observation
3-column burst fracture,RID4657.Observation
2-column burst fracture,RID4656.Observation
type 3 hangman fracture,RID4673.Observation
type 1 hangman fracture,RID4671.Observation
type 2 hangman fracture,RID4672.Observation
Chance fracture,RID4664.Observation
type 1 occipital condyle fracture,RID4680.Observation
type 2 occipital condyle fracture,RID4681.Observation
type 3 occipital condyle fracture,RID4682.Observation
Salter type VII fracture,RID4691.Observation
Salter type VIII fracture,RID4692.Observation
Salter type VI fracture,RID4690.Observation
Salter-Harris type I fracture,RID4685.Observation
Salter type IX fracture,RID4693.Observation
Salter-Harris type IV fracture,RID4688.Observation
Salter-Harris type V fracture,RID4689.Observation
Salter-Harris type II fracture,RID4686.Observation
Salter-Harris type III fracture,RID4687.Observation
laceration,RID4734.Observation
puncture,RID4735.Observation
retraction,RID46033.Observation
thrombosis,RID34624.Observation
spasm,RID4814.Observation
rotation disorder,RID4811.Observation
perfusion disorder,RID4976.Observation
diverticulum,RID4817.Observation
chest tube entrapment,RID34698.Observation
impingement,RID34652.Observation
displacement,RID4751.Observation
separation,RID34790.Observation
protuberance,RID4810.Observation
hernia,RID4895.Observation
instability,RID4809.Observation
embolism,RID4825.Observation
intussusception,RID4943.Observation
absence,RID34780.Observation
perforation,RID4944.Observation
diastasis,RID4749.Observation
pressure disorder,RID4947.Observation
fluid disorder,RID4861.Observation
thrombus,RID5037.Observation
flow disorder,RID4960.Observation
architectural distortion,RID34261.Observation
duct changes,RID34382.Observation
fistula,RID4843.Observation
ulcer,RID5038.Observation
stenosis,RID5016.Observation
retention,RID4984.Observation
Cooper's ligament changes,RID34381.Observation
pleural retraction,RID46034.Observation
venous thrombosis,RID39185.Observation
deep vein thrombosis,RID34625.Observation
pylorospasm,RID4815.Observation
diffuse spasm,RID34759.Observation
diffuse esophageal spasm,RID34760.Observation
torsion,RID4813.Observation
malrotation,RID4812.Observation
hyperperfusion,RID4978.Observation
perfusion defect,RID4979.Observation
hypoperfusion,RID4977.Observation
perilesional perfusion alteration,RID43300.Observation
TIMI grade 1: penetration without perfusion,RID4981.Observation
TIMI grade 2: partial perfusion,RID4982.Observation
TIMI grade 0: no perfusion,RID4980.Observation
TIMI grade 3: complete perfusion,RID4983.Observation
periureteric diverticulum,RID4824.Observation
lateral cervical esophageal pouch,RID4823.Observation
pharyngeal pouch,RID4819.Observation
laryngocele,RID4821.Observation
femoroacetabular impingement,RID34653.Observation
malposition,RID4753.Observation
displaced substance,RID4797.Observation
patella alta,RID39259.Observation
Chilaiditi syndrome,RID35978.Observation
ptosis,RID4795.Observation
curvature malposition,RID4754.Observation
flexion deformity,RID4765.Observation
patella infera,RID39260.Observation
prolapse,RID4787.Observation
malalignment,RID4766.Observation
high scapula,RID4785.Observation
wandering spleen,RID4796.Observation
volvulus,RID4786.Observation
dehiscence,RID4764.Observation
kyphosis,RID4759.Observation
scoliosis,RID4756.Observation
lordosis,RID4761.Observation
bowing,RID4755.Observation
kyphoscoliosis,RID4760.Observation
levoscoliosis,RID4758.Observation
dextroscoliosis,RID4757.Observation
rotoscoliosis,RID39169.Observation
accentuated lordosis,RID4762.Observation
loss of lordosis,RID4763.Observation
rectocele,RID4789.Observation
procidentia,RID4790.Observation
cystocele,RID4788.Observation
varus deformity,RID4769.Observation
subluxation,RID4778.Observation
valgus deformity,RID4768.Observation
spondylolisthesis,RID4780.Observation
negative ulnar variance,RID4783.Observation
positive ulnar variance,RID4784.Observation
slipped capital femoral epiphysis,RID4781.Observation
dislocation,RID4770.Observation
retrolisthesis,RID39168.Observation
tilt,RID4782.Observation
rotatory subluxation,RID4779.Observation
degenerative spondylolisthesis,RID34794.Observation
detachment,RID4771.Observation
jumped facet,RID4776.Observation
dissociation,RID4774.Observation
perched facet,RID4775.Observation
retinal detachment,RID4772.Observation
choroidal detachment,RID4773.Observation
sigmoid volvulus,RID34604.Observation
hydropneumoperitoneum,RID34742.Observation
consolidation,RID43255.Observation
displaced anatomy,RID4804.Observation
displaced gas,RID4798.Observation
meniscal fragment,RID4807.Observation
bone fragment,RID4805.Observation
avulsed meniscal fragment,RID4808.Observation
avulsed bone fragment,RID4806.Observation
os acetabulum,RID39140.Observation
pneumoperitoneum,RID4803.Observation
pneumatosis,RID4801.Observation
emphysema,RID4799.Observation
pneumatosis intestinalis,RID4802.Observation
bullous emphysema,RID28503.Observation
centrilobular emphysema,RID28504.Observation
interstitial emphysema,RID28511.Observation
paraseptal emphysema,RID28520.Observation
panacinar emphysema,RID28519.Observation
incarcerated hernia,RID6260.Observation
diaphragmatic hernia,RID4934.Observation
external abdominal hernia,RID4913.Observation
strangulated hernia,RID6261.Observation
internal abdominal hernia,RID4900.Observation
intravertebral herniation,RID4939.Observation
pelvic or groin hernia,RID4925.Observation
hiatal hernia,RID4897.Observation
closed loop hernia,RID6259.Observation
chiari malformation,RID28827.Observation
congenital diaphragmatic hernia,RID34584.Observation
hernia through foramen of Morgagni,RID4938.Observation
hernia through esophageal hiatus,RID4936.Observation
hernia through foramen of Bochdalek,RID4937.Observation
abdominal wall hernia,RID4914.Observation
Richter hernia,RID4916.Observation
ventral hernia,RID4917.Observation
umbilical hernia,RID4915.Observation
Spigelian hernia,RID4918.Observation
lumbar hernia,RID4919.Observation
incisional hernia,RID4920.Observation
superior lumbar triangle hernia,RID4923.Observation
inferior lumbar triangle hernia,RID4921.Observation
retroanastomotic hernia,RID4912.Observation
paraduodenal hernia,RID4902.Observation
transmesenteric hernia,RID4910.Observation
transomental hernia,RID4911.Observation
lesser sac hernia,RID4905.Observation
foramen of Winslow hernia,RID4906.Observation
pericecal hernia,RID4904.Observation
intramesosigmoid hernia,RID4909.Observation
intersigmoid hernia,RID4907.Observation
transmesosigmoid hernia,RID4908.Observation
sciatic hernia,RID4932.Observation
perineal hernia,RID4933.Observation
inguinal hernia,RID4926.Observation
Littre hernia,RID4929.Observation
femoral hernia,RID4930.Observation
obturator hernia,RID4931.Observation
indirect inguinal hernia,RID4927.Observation
direct inguinal hernia,RID4928.Observation
paraesophageal hernia,RID4899.Observation
sliding hiatal hernia,RID4898.Observation
chiari malformation type III,RID34702.Observation
chiari malformation type IV,RID34703.Observation
chiari malformation type I,RID34700.Observation
chiari malformation type II,RID34701.Observation
saddle embolism,RID4835.Observation
septic embolism,RID4836.Observation
pulmonary embolism,RID4834.Observation
thromboembolism,RID4837.Observation
foreign body embolism,RID4826.Observation
tissue embolism,RID4838.Observation
barium embolism,RID4833.Observation
atheromatous embolism,RID4828.Observation
air embolism,RID4827.Observation
oil embolism,RID4831.Observation
methylmethacrylate embolism,RID4832.Observation
talc embolism,RID4830.Observation
fat embolism,RID4839.Observation
tumor embolism,RID4842.Observation
bone marrow embolism,RID4840.Observation
amniotic fluid embolism,RID4841.Observation
asplenia,RID34781.Observation
spontaneous esophageal perforation,RID4945.Observation
ocular hypotony,RID4954.Observation
pseudotumor cerebri,RID4955.Observation
intracranial hypotension,RID4958.Observation
vacuum phenomenon,RID4959.Observation
cerebral herniation,RID4948.Observation
tension pneumo-orbit,RID4952.Observation
compartment syndrome,RID4953.Observation
subfalcine herniation,RID4949.Observation
uncal herniation,RID4950.Observation
transtentorial herniation,RID4951.Observation
hydrops,RID4883.Observation
effusion,RID4872.Observation
edema,RID4865.Observation
hyperemia,RID4873.Observation
abnormal accumulation of fluid,RID4884.Observation
congestion,RID4863.Observation
leak,RID4874.Observation
Meniere syndrome,RID3492.Observation
hydrops fetalis,RID39322.Observation
pericardial effusion,RID38588.Observation
pleural effusion,RID34539.Observation
pulmonary edema,RID4866.Observation
hypervolemic pulmonary edema,RID4868.Observation
hypoproteinemic pulmonary edema,RID4869.Observation
cardiogenic pulmonary edema,RID4867.Observation
post-ictal pulmonary edema,RID4871.Observation
neurogenic pulmonary edema,RID4870.Observation
hemothorax,RID34595.Observation
hygroma,RID4893.Observation
hemoperitoneum,RID34659.Observation
lymphocele,RID4892.Observation
hydrocephalus,RID4885.Observation
noncommunicating hydrocephalus,RID4888.Observation
normal-pressure hydrocephalus,RID4889.Observation
obstructive hydrocephalus,RID4891.Observation
communicating hydrocephalus,RID4886.Observation
external hydrocephalus,RID4887.Observation
urine leak,RID4879.Observation
extravasation,RID4877.Observation
cerebrospinal fluid leak,RID4881.Observation
intravasation,RID4876.Observation
oligemia,RID28517.Observation
pulmonary blood flow redistribution,RID28526.Observation
shunt,RID4969.Observation
persistent fetal circulation,RID4974.Observation
hemorrhage,RID4700.Observation
obstructive uropathy,RID34394.Observation
cavernous transformation,RID4961.Observation
steal syndrome,RID4973.Observation
obstruction,RID4962.Observation
mosaic oligemia,RID46030.Observation
cardiac shunt,RID4970.Observation
left-to-right shunt,RID4971.Observation
right-to-left shunt,RID4972.Observation
patent ductus arteriosus,RID4975.Observation
hemarthrosis,RID4703.Observation
splenic hemorrhage,RID34585.Observation
apoplexy,RID4701.Observation
contusion,RID4702.Observation
hematoma,RID4705.Observation
spontaneous hemorrhage,RID39479.Observation
hematuria,RID34774.Observation
GI-bleed,RID43369.Observation
pulmonary hemorrhage,RID4709.Observation
subarachnoid hemorrhage,RID4710.Observation
lipohemarthrosis,RID4704.Observation
epidural hematoma,RID4708.Observation
subdural hematoma,RID4706.Observation
chronic obstructive uropathy,RID34395.Observation
gastric outlet obstruction,RID4967.Observation
closed-loop obstruction,RID34750.Observation
imperforation,RID4968.Observation
gallstone ileus,RID4965.Observation
air trapping,RID28537.Observation
ureteropelvic junction obstruction,RID34597.Observation
pyloric stenosis,RID46040.Observation
small bowel closed-loop obstruction,RID34751.Observation
Bouveret syndrome,RID4966.Observation
deformity,RID39218.Observation
collapse,RID28506.Observation
dilation,RID4743.Observation
compression,RID4741.Observation
torticollis,RID4816.Observation
atelectasis,RID28493.Observation
linear atelectasis,RID28513.Observation
rounded atelectasis,RID28494.Observation
Cowper syringocele,RID4747.Observation
lymphangiectasis,RID4748.Observation
megaureter,RID4746.Observation
hydromyelia,RID34643.Observation
airway ectasia,RID46028.Observation
dural ectasia,RID34747.Observation
bronchiolectasis,RID28497.Observation
bronchocele,RID28498.Observation
bronchiectasis,RID28496.Observation
traction bronchiolectasis,RID28529.Observation
traction bronchiectasis,RID28528.Observation
cord compression,RID28797.Observation
vascular loop compression,RID4742.Observation
duct ectasia,RID34384.Observation
ductal wall thickening,RID34385.Observation
rectovaginal fistula,RID4846.Observation
perilymphatic fistula,RID4858.Observation
perianal fistula,RID4847.Observation
rectovesical fistula,RID4844.Observation
colovesical fistula,RID4845.Observation
enterovesical fistula,RID4848.Observation
tracheoesophageal fistula,RID4859.Observation
enterocutaneous fistula,RID4849.Observation
bronchoesophageal fistula,RID4860.Observation
enteroenteric fistula,RID4850.Observation
arteriovenous fistula,RID4851.Observation
spinal dural arteriovenous fistula,RID4856.Observation
carotid cavernous fistula,RID4854.Observation
solitary rectal ulcer syndrome,RID5040.Observation
tropical ulcer,RID34622.Observation
mucosal erosion,RID5041.Observation
peptic ulcer,RID5039.Observation
gastric ulcer,RID34651.Observation
urethral stenosis,RID34588.Observation
stricture,RID5022.Observation
luminal narrowing,RID46029.Observation
middle aortic syndrome,RID5020.Observation
lower esophageal ring,RID5026.Observation
hypertrophic pyloric stenosis,RID5035.Observation
web,RID5024.Observation
congenital stenosis,RID5018.Observation
spinal stenosis,RID5028.Observation
aortic stenosis,RID34590.Observation
Schatzki ring,RID5027.Observation
antral mucosal diaphragm,RID5025.Observation
coarctation of aorta,RID34589.Observation
subarticular spinal stenosis,RID5033.Observation
foraminal spinal stenosis,RID5034.Observation
central spinal stenosis,RID5029.Observation
severe central spinal stenosis,RID5032.Observation
mild central spinal stenosis,RID5030.Observation
moderate central spinal stenosis,RID5031.Observation
impaction,RID5014.Observation
inspissation,RID5015.Observation
cast,RID5013.Observation
enterolith,RID4985.Observation
calculus,RID4994.Observation
coprolith,RID4987.Observation
appendicolith,RID4988.Observation
sialolithiasis,RID5010.Observation
calcium stone,RID5000.Observation
gallstone,RID4989.Observation
xanthine stone,RID5003.Observation
matrix stone,RID5004.Observation
microlith,RID5012.Observation
cystine stone,RID5001.Observation
uric acid stone,RID5002.Observation
Indinavir stone,RID5007.Observation
urolithiasis,RID4996.Observation
bladder calculus,RID5008.Observation
oxalate stone,RID5005.Observation
infection stone,RID5006.Observation
gallstone in bile duct,RID4992.Observation
gallstone in gallbladder,RID4990.Observation
renal calculus,RID38586.Observation
ureteral calculus,RID38587.Observation
twin dichorionic diamniotic placenta,RID34792.Observation
blighted ovum,RID34786.Observation
ectopic pregnancy,RID4942.Observation
molar pregnancy,RID34639.Observation
drug-induced disorder,RID4569.Observation
poisoning,RID4581.Observation
inhalation-induced disorder,RID4574.Observation
ingestion-induced disorder,RID4572.Observation
caustic-induced disorder,RID4567.Observation
alkaline-induced disorder,RID4565.Observation
radiation-induced disorder,RID4587.Observation
disorder due to drug abuse,RID4570.Observation
disorder due to chemotherapeutic drug,RID4571.Observation
insecticide poisoning,RID4582.Observation
fluorocarbon poisoning,RID4585.Observation
hydrocarbon poisoning,RID4586.Observation
herbicide poisoning,RID4583.Observation
Spanish toxic oil syndrome,RID4584.Observation
lead poisoning,RID34657.Observation
carbon monoxide toxicity,RID4575.Observation
toxic gas inhalation,RID4576.Observation
smoke inhalation,RID4580.Observation
oxidant gas inhalation,RID4578.Observation
nonoxidant aerosol inhalation,RID4579.Observation
nonoxidant gas inhalation,RID4577.Observation
lye-induced disorder,RID4573.Observation
alcohol-induced disorder,RID4568.Observation
alkaline encrustation,RID4566.Observation
chondroradionecrosis,RID4589.Observation
radiation enteritis,RID4588.Observation
polycystic kidney disease,RID34636.Observation
involution,RID3807.Observation
metaplasia,RID3809.Observation
duplication,RID34705.Observation
hormone disorder,RID46042.Observation
fusion,RID3800.Observation
regeneration,RID3813.Observation
neurofibromatosis,RID34599.Observation
growth rate disorder,RID3803.Observation
remodeling,RID3814.Observation
proliferation disorder,RID3836.Observation
dysplasia,RID3737.Observation
achondroplasia,RID34620.Observation
physiologic repair,RID3816.Observation
neural tube defect,RID34598.Observation
thickening,RID28509.Observation
dysgenesis,RID3741.Observation
scleroderma,RID34592.Observation
aplasia,RID3732.Observation
ectopic tissue,RID3742.Observation
enlargement,RID3775.Observation
microgallbladder,RID3808.Observation
squamous metaplasia,RID3810.Observation
acromegaly,RID46043.Observation
subtalar coalition,RID34401.Observation
tarsal coalition,RID35616.Observation
vertebral fusion,RID46050.Observation
horseshoe kidney,RID35282.Observation
talocalcaneal coalition,RID46047.Observation
calcaneonavicular coalition,RID46048.Observation
Schwannomatosis,RID34600.Observation
neurofibromatosis type 1,RID34601.Observation
neurofibromatosis type 2,RID34602.Observation
growth arrest,RID3804.Observation
growth acceleration,RID3806.Observation
growth retardation,RID3805.Observation
Paget disease,RID3815.Observation
Madelung disease,RID3866.Observation
adenomyosis,RID3868.Observation
hematopoietic proliferative disorder,RID3837.Observation
adenomyomatosis,RID3869.Observation
cystic disease,RID34674.Observation
post-transplant lymphoproliferative disorder,RID3871.Observation
endometriosis,RID3870.Observation
polycythemia vera,RID3865.Observation
granulocytic sarcoma,RID3857.Observation
plasma cell granuloma,RID3859.Observation
lymphoproliferative disorder,RID3839.Observation
extramedullary hematopoiesis,RID3838.Observation
myeloproliferative disorder,RID3862.Observation
plasmacytoma,RID3861.Observation
histiocytosis,RID3845.Observation
Langerhans cell histiocytosis,RID3846.Observation
non-Langerhans cell histiocytosis,RID3850.Observation
Hand-Schuller-Christian disease,RID3848.Observation
Letterer-Siwe disease,RID3847.Observation
eosinophilic granuloma,RID3849.Observation
xanthoma disseminatum,RID3855.Observation
juvenile xanthogranuloma,RID3854.Observation
choroid plexus xanthogranuloma,RID3856.Observation
Rosai-Dorfman disease,RID3851.Observation
hemophagocytic lymphohistiocytosis,RID3853.Observation
Erdheim-Chester disease,RID3852.Observation
multiple myeloma,RID3864.Observation
leukemia,RID3863.Observation
cystic adventitial disease,RID34684.Observation
medullary sponge kidney,RID34675.Observation
melorheostosis,RID34660.Observation
thanatophoric dysplasia,RID46049.Observation
fibrous dysplasia,RID3738.Observation
multicystic dysplasia,RID3740.Observation
cherubism,RID3739.Observation
clubbing,RID3817.Observation
keloid,RID3828.Observation
gliosis,RID3827.Observation
granulation tissue,RID3819.Observation
contracture,RID3818.Observation
scar,RID3829.Observation
fibrosis,RID3820.Observation
synechia,RID3832.Observation
focal scar,RID39453.Observation
adhesion,RID3831.Observation
radial scar,RID3830.Observation
intrauterine synechia,RID3833.Observation
cirrhosis,RID3822.Observation
interstitial fibrosis,RID3821.Observation
Peyronie disease,RID3824.Observation
myelofibrosis,RID3826.Observation
retroperitoneal fibrosis,RID3825.Observation
primary biliary cirrhosis,RID3823.Observation
bronchial wall thickening,RID46027.Observation
septal thickening,RID46021.Observation
intralobular lines,RID28837.Observation
trabecular thickening,RID34271.Observation
interlobular septal thickening,RID28510.Observation
gonadal dysgenesis,RID34626.Observation
agenesis,RID3733.Observation
atresia,RID3735.Observation
renal agenesis,RID34645.Observation
choanal atresia,RID3736.Observation
ectopic kidney,RID34714.Observation
ectopic pancreatic rest,RID3745.Observation
lissencephaly,RID3766.Observation
stentogyria,RID3769.Observation
polymicrogyria,RID3768.Observation
ectopic gastric mucosa,RID3749.Observation
disorder of neuronal migration,RID3759.Observation
crossed ectopia,RID3748.Observation
lingual thyroid,RID3770.Observation
splenosis,RID3750.Observation
balloon cell focal cortical dysplasia of Taylor,RID3772.Observation
focal cortical dysplasia without balloon cells,RID3771.Observation
graft,RID3751.Observation
nasal glioma,RID3773.Observation
pachygyria,RID3764.Observation
pelvic kidney,RID3747.Observation
intrathoracic kidney,RID3746.Observation
nodular heterotopia,RID3760.Observation
band heterotopia,RID3763.Observation
subependymal nodular heterotopia,RID3761.Observation
subcortical nodular heterotopia,RID3762.Observation
ligament graft,RID3756.Observation
transplant,RID3757.Observation
synthetic graft,RID34744.Observation
bone graft,RID3752.Observation
transplanted kidney,RID39544.Observation
cortical bone graft,RID3755.Observation
corticocancellous bone graft,RID3754.Observation
cancellous bone graft,RID3753.Observation
hyperplasia,RID3777.Observation
enlarged liver,RID34593.Observation
gynecomastia,RID34665.Observation
enlarged spleen,RID34587.Observation
enlarged parietal foramina,RID34834.Observation
distension,RID3793.Observation
splenic sequestration,RID3796.Observation
hypertrophy,RID3795.Observation
lymphadenopathy,RID3798.Observation
goiter,RID3797.Observation
focal nodular hyperplasia,RID3778.Observation
nodular hyperplasia,RID3790.Observation
vegetation,RID3792.Observation
lymphoid hyperplasia,RID3780.Observation
benign prostatic hyperplasia,RID3784.Observation
hyperkeratosis,RID3786.Observation
telangiectatic focal nodular hyperplasia,RID3779.Observation
Castleman disease,RID3781.Observation
acanthosis nigricans,RID3789.Observation
parakeratosis,RID3788.Observation
hydronephrosis,RID34393.Observation
axillary adenopathy,RID34272.Observation
hammertoe,RID39093.Observation
stasis,RID5263.Observation
functional disorder of colon,RID5250.Observation
restricted motion,RID5262.Observation
dyskinesia,RID5240.Observation
akinesia,RID38800.Observation
achalasia,RID34582.Observation
paralysis,RID5256.Observation
hypokinesia,RID39100.Observation
intestinal pseudo-obstruction,RID5257.Observation
bowel motility disorder,RID5243.Observation
paresis,RID5254.Observation
flail,RID5249.Observation
presbyesophagus,RID5258.Observation
reflux,RID5259.Observation
eventration,RID5248.Observation
nonobstructive megacolon,RID5252.Observation
cathartic colon,RID5253.Observation
irritable bowel syndrome,RID5251.Observation
biliary dyskinesia,RID5241.Observation
bowel dyskinesia,RID5242.Observation
dumping syndrome,RID5245.Observation
ileus,RID5246.Observation
delayed emptying,RID5244.Observation
gastroparesis,RID5255.Observation
gastroesophageal reflux,RID5260.Observation
vesicoureteral reflux,RID5261.Observation
benign finding,RID36008.Observation
non-pathological condition appearing pathological,RID35979.Observation
pregnancy,RID4941.Observation
pseudopneumoperitoneum,RID35980.Observation
twin pregnancy,RID39554.Observation
additional gestation,RID39555.Observation
portion of body substance,RID29109.Observation
portion of excreted substance,RID33232.Observation
portion of solid body substance,RID39158.Observation
portion of gaseous body substance,RID39157.Observation
portion of body fluid,RID1540.Observation
feces,RID1546.Observation
ingested food,RID30361.Observation
fat,RID1538.Observation
meconium,RID1551.Observation
bolus of ingested food,RID30362.Observation
portion of chyme,RID31107.Observation
flatus,RID33233.Observation
portion of gas in anatomical space,RID33552.Observation
alimentary air,RID33553.Observation
fluid,RID1547.Observation
portion of body fluid suspension,RID38626.Observation
gastric acid,RID1548.Observation
portion of body fluid solution,RID39155.Observation
transudate,RID6366.Observation
vitreous humor,RID9680.Observation
portion of esophageal secretion,RID30344.Observation
portion of pancreatic juice,RID32742.Observation
portion of serous fluid,RID29521.Observation
portion of colloidal body substance,RID38627.Observation
pus,RID1555.Observation
portion of cerebrospinal fluid,RID1544.Observation
chyle,RID1545.Observation
sebum,RID1556.Observation
portion of follicular fluid,RID32893.Observation
portion of intestinal secretion,RID1549.Observation
aqueous humor,RID9676.Observation
mucus,RID1552.Observation
pancreatic secretion,RID1553.Observation
blood,RID1543.Observation
peritoneal fluid,RID29522.Observation
synovial fluid,RID13429.Observation
portion of vitreous humor,RID38628.Observation
hyaloid canal,RID9683.Observation
CSF in third ventricle,RID16829.Observation
CSF in lateral ventricle,RID16826.Observation
whole portion of cerebrospinal fluid,RID16825.Observation
CSF in subarachnoid space of spinal cord,RID16824.Observation
CSF in right side of medulla part of fourth ventricle,RID37786.Observation
CSF in medulla part of fourth ventricle,RID37785.Observation
CSF in subarachnoid space of brain,RID16823.Observation
CSF in left side of metencephalon part of fourth ventricle,RID37789.Observation
CSF in fourth ventricle,RID16830.Observation
cSF in right side of metencephalon part of fourth ventricle,RID37788.Observation
CSF in left side of medulla part of fourth ventricle,RID37787.Observation
CSF in right side of third ventricle,RID37791.Observation
CSF in left side of third ventricle,RID37790.Observation
CSF in left lateral ventricle,RID16828.Observation
CSF in right lateral ventricle,RID16827.Observation
sweat,RID1557.Observation
portion of urine,RID1558.Observation
portion of gastric juice,RID31675.Observation
portion of bile,RID1542.Observation
object,RID34861.Observation
medical object,RID29038.Observation
foreign body,RID5425.Observation
portion of medical device,RID29039.Observation
medical device,RID29033.Observation
wire tip,RID28998.Observation
needle sheath,RID29006.Observation
laser tip,RID29024.Observation
needle tip,RID29000.Observation
steerable wire tip,RID12884.Observation
shapeable wire tip,RID12883.Observation
angled wire tip,RID12880.Observation
straight wire tip,RID12882.Observation
J wire tip,RID12881.Observation
curved sheath,RID12895.Observation
straight sheath,RID12894.Observation
peel away sheath,RID12890.Observation
hemostatic sheath,RID12889.Observation
scattering dome laser tip,RID13005.Observation
flexible diffuser laser tip,RID13004.Observation
serrated needle tip,RID12873.Observation
diamond needle tip,RID12872.Observation
bevel needle tip,RID12871.Observation
applicator,RID28999.Observation
surgical equipment,RID35819.Observation
filter,RID29007.Observation
drainage device,RID12939.Observation
balloon,RID5451.Observation
transducer,RID29019.Observation
magnetic resonance imaging coil,RID10813.Observation
imaging device,RID29037.Observation
injector,RID29026.Observation
laser crystal,RID29056.Observation
collimator,RID10935.Observation
biopsy instrument,RID29034.Observation
nuclear camera,RID10962.Observation
dilator,RID29030.Observation
implantable device,RID5429.Observation
nuclear diode,RID10982.Observation
CT detector,RID10597.Observation
interventional wire,RID11052.Observation
probe,RID45649.Observation
surgical implement,RID5599.Observation
internally cooled applicator,RID12983.Observation
bipolar applicator,RID12982.Observation
antenna applicator,RID12974.Observation
electrode applicator,RID12973.Observation
perfusion applicator,RID12984.Observation
monopolar applicator,RID12981.Observation
multi-tined applicator,RID12980.Observation
straight cluster applicator,RID12979.Observation
